cv_acc,cv_acc_nc,cv_acc_pc,cv_f1,data_name,hyper_params,is_normalized,model_name,param_c,param_gamma,param_linvar,prepr_name,test_acc,test_acc_nc,test_acc_pc,test_f1
0.9812,0.9736284826284825,0.988956043956044,0.9805994509422252,GTZAN,"{""C"": 58.315789473684205, ""gamma"": 0.04175318936560409}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9850769230769232,0.9779858474858472,0.9904469696969695,0.9853880645371756,GTZAN,"{""C"": 84.36842105263158, ""gamma"": 0.04175318936560409}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9883384615384616,0.9890064102564102,0.9872710622710622,0.987833243085417,GTZAN,"{""C"": 89.57894736842105, ""gamma"": 0.018873918221350997}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9899076923076922,0.9853442113442112,0.9936666666666666,0.9900340514842424,GTZAN,"{""C"": 100.0, ""gamma"": 0.018873918221350997}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9875384615384614,0.9812358474858474,0.99375,0.9873201556670516,GTZAN,"{""C"": 100.0, ""gamma"": 0.04175318936560409}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9938461538461536,0.9891941391941392,0.9988888888888888,0.9941922618444358,GTZAN,"{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.0}",1,mv_nn,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9852,0.9845720864103216,0.9860317460317459,0.984454707512358,GTZAN,"{""hidden_neurons"": [200, 200, 200], ""dropout"": 0.25}",1,mv_nn,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9391384615384616,0.9486184877214288,0.9354508661273364,0.9352628716259668,GTZAN,"{""C"": 6.2105263157894735, ""gamma"": 0.018873918221350997}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9828923076923076,0.9709491187347222,0.9938548951048952,0.982194126896878,GTZAN,"{""C"": 11.421052631578947, ""gamma"": 0.09236708571873885}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9185846153846154,0.9383652964682372,0.9104631153160564,0.917763440370824,GTZAN,"{""C"": 16.63157894736842, ""gamma"": 0.0038566204211634724}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.985046153846154,0.9801727912610264,0.9897142857142858,0.9850496819961454,GTZAN,"{""C"": 16.63157894736842, ""gamma"": 0.04175318936560409}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9805846153846152,0.9694430797960208,0.9929111721611722,0.9801269594519632,GTZAN,"{""C"": 32.26315789473684, ""gamma"": 0.09236708571873885}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.930276923076923,0.9480826950826948,0.9226577899224956,0.9300900941280026,GTZAN,"{""C"": 42.68421052631579, ""gamma"": 0.0017433288221999908}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.971907692307692,0.9842660672660672,0.9594052728317429,0.9712315456656572,GTZAN,"{""C"": 58.315789473684205, ""gamma"": 0.0038566204211634724}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.974953846153846,0.9900274725274724,0.9636782025164378,0.9748374238047768,GTZAN,"{""C"": 63.526315789473685, ""gamma"": 0.008531678524172814}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9890461538461538,0.9820541125541123,0.9969047619047616,0.988717687011356,GTZAN,"{""C"": 79.1578947368421, ""gamma"": 0.04175318936560409}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9820307692307692,0.9798485599367951,0.985088680926916,0.9815182018833812,GTZAN,"{""C"": 84.36842105263158, ""gamma"": 0.04175318936560409}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9626769230769228,0.9768511602776307,0.952836358086358,0.9614886422817296,GTZAN,"{""C"": 100.0, ""gamma"": 0.0017433288221999908}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.975753846153846,0.9900322455322454,0.9634872627372628,0.9746271547569371,GTZAN,"{""C"": 100.0, ""gamma"": 0.008531678524172814}",1,mv_svm,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9734461538461538,0.9806140526140524,0.96505808407279,0.9726701563090993,GTZAN,"{""hidden_neurons"": [50], ""dropout"": 0.0}",1,mv_nn,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9891384615384616,0.997,0.9804793654058358,0.9881747743916116,GTZAN,"{""hidden_neurons"": [50, 50], ""dropout"": 0.0}",1,mv_nn,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9749230769230768,0.9772836999601704,0.9747395937395936,0.9725678979498276,GTZAN,"{""hidden_neurons"": [50, 50, 50], ""dropout"": 0.25}",1,mv_nn,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9710769230769228,0.9776776279276278,0.963407861746097,0.9681431413898288,GTZAN,"{""hidden_neurons"": [100], ""dropout"": 0.25}",1,mv_nn,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
0.9733230769230768,0.9778955766455764,0.97063599472423,0.9734517112025478,GTZAN,"{""hidden_neurons"": [100], ""dropout"": 0.5}",1,mv_nn,,,,RhythmData,0.975,0.95,1.0,0.975609756097561
